pickup_hour,day_of_week,trip_count
0,1,1104254
1,1,929689
2,1,684348
3,1,498767
4,1,297478
5,1,153632
6,1,213203
7,1,319980
8,1,482645
9,1,721738
10,1,989862
11,1,1155543
12,1,1285463
13,1,1311815
14,1,1341446
15,1,1319848
16,1,1307342
17,1,1330455
18,1,1300876
19,1,1120625
20,1,996033
21,1,912907
22,1,785020
23,1,569940
0,2,359678
1,2,198491
2,2,121325
3,2,84337
4,2,105000
5,2,206742
6,2,538034
7,2,943460
8,2,1198213
9,2,1184168
10,2,1170142
11,2,1209086
12,2,1294403
13,2,1323211
14,2,1440881
15,2,1492256
16,2,1424017
17,2,1569549
18,2,1651351
19,2,1434262
20,2,1247519
21,2,1157249
22,2,949815
23,2,632547
0,3,388220
1,3,206337
2,3,119754
3,3,81249
4,3,95289
5,3,208759
6,3,579718
7,3,1079538
8,3,1362029
9,3,1341395
10,3,1313579
11,3,1348624
12,3,1433709
13,3,1450099
14,3,1572660
15,3,1602990
16,3,1517604
17,3,1706458
18,3,1860918
19,3,1639464
20,3,1477221
21,3,1439383
22,3,1226193
23,3,827165
0,4,479184
1,4,253701
2,4,147274
3,4,97023
4,4,103943
5,4,212534
6,4,584856
7,4,1095904
8,4,1389276
9,4,1365967
10,4,1343106
11,4,1397625
12,4,1483072
13,4,1499203
14,4,1606124
15,4,1624977
16,4,1538153
17,4,1731215
18,4,1882273
19,4,1713650
20,4,1535072
21,4,1500451
22,4,1331236
23,4,942002
0,5,557067
1,5,300645
2,5,171928
3,5,111010
4,5,112470
5,5,217217
6,5,592730
7,5,1101418
8,5,1385543
9,5,1365729
10,5,1347420
11,5,1394471
12,5,1485250
13,5,1505723
14,5,1627106
15,5,1645590
16,5,1550090
17,5,1744563
18,5,1901180
19,5,1756938
20,5,1588097
21,5,1560719
22,5,1440641
23,5,1131566
0,6,758744
1,6,458558
2,6,275337
3,6,171257
4,6,150075
5,6,224140
6,6,553709
7,6,994019
8,6,1268325
9,6,1272773
10,6,1281649
11,6,1349549
12,6,1427059
13,6,1456189
14,6,1596251
15,6,1610284
16,6,1524832
17,6,1720295
18,6,1880574
19,6,1799029
20,6,1474622
21,6,1415966
22,6,1443689
23,6,1332640
0,7,1096450
1,7,862244
2,7,659468
3,7,449764
4,7,268757
5,7,155295
6,7,253673
7,7,395180
8,7,606726
9,7,888631
10,7,1112100
11,7,1281212
12,7,1419326
13,7,1463022
14,7,1458650
15,7,1494161
16,7,1477979
17,7,1552548
18,7,1612659
19,7,1572450
20,7,1315539
21,7,1285248
22,7,1354306
23,7,1300015
