PULocationID,total_revenue,avg_fare,trip_count
132,279797932.95,45.73,6118438
138,132983656.15,30.98,4292250
161,82492983.28,11.78,7003430
237,77854433.98,9.56,8140361
186,74479568.27,12.11,6151083
236,73972636.04,9.98,7410726
230,72022689.96,13.17,5468314
162,69389485.01,11.42,6076416
48,63338145.2,11.66,5432423
170,62663650.08,11.42,5489332
142,58692303.33,10.63,5523805
163,56299023.46,11.88,4739911
234,54702802.33,10.85,5040847
68,51357636.48,12.03,4267864
239,51291994.34,10.44,4913296
79,50998826.47,11.41,4467744
164,45734495.69,11.66,3922757
141,45421067.7,9.98,4551441
107,44984710.42,10.96,4106052
140,41084822.7,11.58,3548283
238,40638485.17,10.68,3804652
249,39288952.99,11.15,3524452
100,39014772.84,11.82,3300719
263,37842697.15,10.34,3658656
229,37286075.03,10.39,3589722
231,36504645.7,13.69,2666366
90,33467341.82,10.72,3120583
246,32473376.96,11.98,2711106
43,32154644.2,11.08,2901780
113,28211623.4,11.02,2559322
233,27579546.41,11.89,2319318
137,26274891.91,11.34,2316385
262,25673368.78,10.97,2340084
264,25285627.86,16.6,1523229
148,24710954.19,12.98,1904081
114,24443304.54,11.49,2127368
143,23085504.82,10.62,2173287
13,21000836.67,16.48,1273986
144,19331500.56,12.42,1556175
151,19097537.81,11.06,1726341
87,19005429.55,17.17,1106847
158,18618152.49,12.3,1513622
50,17178693.56,11.84,1450476
75,17066725.27,11.54,1478725
211,15797799.75,12.16,1299323
261,15705482.9,17.13,917073
166,12519916.59,12.44,1006066
265,11664364.81,42.64,273568
125,11272215.53,12.23,921654
88,10391337.44,18.19,571292
74,8508453.15,11.85,717872
70,8326589.18,31.14,267366
41,8113359.73,11.45,708619
24,6795525.55,11.75,578384
209,5693151.3,16.77,339388
45,4427451.0,15.46,286304
232,4252165.43,15.92,267017
226,4251008.03,19.97,212920
42,4212008.5,13.45,313208
224,3819560.71,11.98,318816
4,3431684.98,13.22,259671
244,3403593.18,16.97,200617
65,3097866.84,17.66,175368
116,3088307.4,14.38,214753
145,3067927.9,24.96,122903
10,3000382.99,49.15,61040
33,2581684.27,17.64,146313
7,2528999.27,13.13,192552
152,2259014.57,12.89,175307
25,2081606.85,17.02,122306
93,1996565.8,48.95,40788
97,1988131.61,16.27,122187
146,1858533.35,13.91,133565
181,1846230.9,16.52,111731
223,1812742.85,25.57,70890
255,1599210.49,15.68,101996
216,1462383.12,45.48,32155
256,1460296.28,16.74,87249
61,1449665.96,25.21,57511
76,1399694.25,30.8,45439
130,1372071.52,40.68,33726
129,1354669.27,18.85,71853
260,1317456.83,18.92,69651
215,1307497.94,46.28,28250
66,1255480.22,17.85,70325
12,1231392.06,17.82,69097
82,1173928.5,24.13,48652
52,1089291.01,15.52,70187
80,1014081.53,19.75,51358
219,1003902.52,50.18,20005
188,998552.22,25.05,39864
179,994648.02,14.18,70152
89,965483.97,27.47,35144
39,950214.04,33.44,28419
193,913979.22,15.31,59679
28,882891.74,41.43,21313
40,845903.65,14.95,56588
35,835980.27,29.98,27884
168,829876.47,20.71,40076
225,821039.91,25.73,31909
37,796417.98,22.89,34786
197,794552.26,37.47,21204
49,787162.0,19.58,40212
17,769127.45,21.33,36052
95,767623.62,23.92,32088
205,762679.57,38.15,19993
112,739229.58,16.87,43809
243,695436.69,20.33,34209
51,685917.9,35.5,19322
134,610030.85,37.11,16440
56,599403.13,37.25,16092
213,596394.38,28.66,20810
91,594542.29,30.18,19701
72,577653.64,28.96,19947
247,570720.92,19.57,29160
228,565453.2,28.46,19867
14,560851.21,33.0,16998
157,558459.55,36.88,15142
218,556676.33,35.54,15662
254,545896.01,33.86,16124
196,529780.81,29.14,18178
189,516131.63,17.89,28844
69,513591.16,23.96,21434
1,502646.18,80.08,6277
159,501479.55,20.78,24134
71,491461.12,29.17,16849
55,488660.33,41.35,11817
177,476110.74,28.86,16498
235,469646.85,29.04,16172
242,449165.43,27.4,16394
92,446311.22,30.16,14798
191,430644.05,41.13,10471
194,425071.23,38.92,10922
62,423972.53,25.13,16873
210,415671.37,35.6,11676
117,413205.91,51.37,8044
36,395757.26,22.48,17602
155,388288.03,32.67,11885
86,385914.53,52.36,7371
135,377756.86,34.81,10852
127,377683.57,21.49,17574
136,376761.48,32.62,11549
222,374012.89,32.74,11424
195,371059.99,28.5,13020
26,363845.34,25.25,14407
174,360575.67,29.31,12304
165,360084.01,27.4,13142
77,352586.24,31.57,11169
182,347146.83,29.6,11726
169,346398.5,28.18,12292
85,345952.25,28.54,12121
119,340332.7,27.36,12440
203,339551.61,41.87,8110
139,329607.92,38.56,8549
78,324314.15,28.07,11552
106,317814.41,18.55,17129
47,316421.26,26.99,11723
81,304824.02,35.85,8503
220,301217.19,27.31,11028
18,295873.81,30.3,9765
167,294933.05,24.95,11823
22,288674.88,30.44,9482
63,286462.7,32.87,8715
121,278093.29,30.13,9230
248,274607.45,34.03,8070
259,272398.77,36.2,7525
83,265988.29,18.76,14182
131,256549.24,32.38,7922
44,256477.5,88.14,2910
38,255724.66,41.89,6105
250,255089.34,29.7,8588
32,254715.21,31.86,7996
124,253636.62,37.88,6695
241,252795.9,30.86,8192
149,251398.13,33.28,7554
208,249159.37,32.76,7605
258,240417.6,32.4,7420
198,240307.27,25.75,9331
185,236079.77,26.48,8915
123,234064.5,27.08,8642
133,231516.45,24.69,9378
29,230615.13,33.83,6816
21,216431.83,31.06,6968
212,213472.76,26.48,8062
200,212914.45,36.79,5788
217,201551.76,18.54,10869
227,197392.29,28.91,6829
147,197068.4,29.4,6702
171,197067.25,34.46,5718
101,191644.87,42.1,4552
108,185802.75,35.24,5272
3,182187.61,31.12,5854
16,181873.73,33.28,5465
257,175730.71,24.96,7041
202,174918.82,22.84,7657
126,170878.14,27.71,6167
23,167045.49,62.33,2680
122,166366.56,37.7,4413
20,160249.63,28.04,5715
173,156582.04,23.51,6660
60,152413.12,27.55,5533
64,149657.31,40.63,3683
183,148552.94,34.95,4250
160,143444.54,28.92,4960
102,139492.2,27.19,5130
53,138225.7,35.49,3895
94,136879.61,26.39,5186
180,135635.22,36.84,3682
19,132267.54,33.86,3906
252,129690.4,36.18,3585
67,122021.95,29.44,4145
11,121439.54,34.78,3492
9,118951.17,28.36,4195
150,118170.54,35.26,3351
34,117403.48,21.39,5489
190,116708.73,19.13,6102
192,106989.26,29.08,3679
98,105026.39,31.53,3331
15,104212.25,32.61,3196
153,99908.82,25.84,3866
207,99302.18,31.8,3123
201,93084.12,45.79,2033
175,90547.09,35.69,2537
54,90369.04,19.33,4674
5,70883.89,73.23,968
8,69276.66,37.23,1861
178,68624.43,25.68,2672
240,52916.97,33.88,1562
128,49302.08,26.61,1853
31,48648.67,30.97,1571
118,47858.26,56.11,853
154,45319.93,44.43,1020
73,43904.61,27.53,1595
120,39574.6,33.01,1199
115,37871.09,50.09,756
46,36274.47,38.67,938
206,33766.11,53.94,626
156,29752.18,55.72,534
253,29581.94,44.42,666
57,28737.87,30.22,951
96,22684.14,31.38,723
214,22374.15,47.0,476
184,21741.59,39.46,551
221,19132.56,46.21,414
27,16882.05,54.28,311
58,16315.88,29.88,546
6,14939.1,25.15,594
59,12694.39,31.11,408
84,12670.91,76.79,165
99,12280.99,78.22,157
251,11894.86,51.27,232
204,10898.44,84.48,129
187,10587.35,54.29,195
245,8658.62,50.34,172
109,8527.71,53.63,159
172,8011.16,45.26,177
2,5997.48,39.98,150
111,4721.48,18.74,252
30,4499.44,39.47,114
176,3446.11,45.34,76
105,2716.7,17.3,157
199,1569.4,32.03,49
110,84.5,84.5,1
104,25.0,25.0,1
